groupId,artifactId
org.jenkins-ci.plugins,durable-task
org.cryptomator,integrations-api
com.googlecode.gwtquery,gwtquery
org.clueminer,graph-api
com.alibaba,fastjson
com.vmware.vsphereautomation.lookup,vsphereautomation-lookupservice
com.itextpdf,itextpdf
org.msgpack,msgpack
org.netbeans.api,org-netbeans-modules-java-project-ui
io.github.earcut4j,earcut4j
org.jboss.marshalling,jboss-marshalling
com.itextpdf,layout
com.spotify,docker-client
org.noear,logback-solon-plugin
org.apache.parquet,parquet-common
org.glassfish.jersey.containers,jersey-container-servlet-core
org.noear,aws-s3-solon-plugin
org.hibernate,hibernate-java8
com.guicedee.services,guice
org.apache.struts,struts2-dwr-plugin
com.codahale.metrics,metrics-ganglia
me.lucko.luckperms,luckperms-api
io.protostuff,protostuff-api
com.koloboke,koloboke-impl-common-jdk8
com.denizenscript,denizen
org.glassfish.jersey.media,jersey-media-json-jackson
org.apache.jena,jena-shaded-guava
com.navercorp.lucy,lucy-xss
org.linkedin,org.linkedin.util-core
android,android
com.github.ulisesbocchio,jasypt-spring-boot-starter
org.noear,minio-solon-plugin
org.unbescape,unbescape
org.javaswift,joss
org.springframework.cloud,spring-cloud-deployer-spi
org.glassfish.jersey.ext,jersey-mvc
org.jenkins-ci.plugins,join
ninja.eivind.hots,storm-parser
org.jyaml,jyaml
xmlrpc-helma,xmlrpc-helma
org.cryptomator,webdav-nio-adapter
org.simpleframework,simple-xml
org.noear,hasor-solon-plugin
log4j,log4j
com.microsoft.ews-java-api,ews-java-api
uk.antiperson,StackMob
io.protostuff,protostuff-runtime
com.github.stefanbirkner,system-lambda
org.glassfish.jaxb,jaxb-jxc
org.directwebremoting,dwr
com.squareup.okhttp3,okhttp
com.github.ben-manes.caffeine,caffeine
org.springframework.integration,spring-integration-http
com.catcode,odfutils
com.xebialabs.overthere,overthere
com.github.Archy-X,AureliumSkills
org.keycloak,keycloak-services
xalan,xalan
org.seleniumhq.selenium,selenium-firefox-driver
net.sourceforge.jchardet,jchardet
com.caucho,quercus
org.apache.tomcat,tomcat-catalina
jgaap-5.2.0-lite,jgaap-5.2.0-lite
org.openapitools,jackson-databind-nullable
net.sf.jtidy,jtidy
com.sparkjava,spark-template-thymeleaf
com.typesafe.akka,akka-actor_2.10
org.webjars.bowergithub.wa0x6e,cal-heatmap
com.googlecode.charts4j,charts4j
org.immutables,value
org.zeromq,curve25519-java
net.sf.meka.thirdparty,mulan
com.kenai.crontab-parser,crontab-parser
org.testcontainers,selenium
org.beanshell,bsh
com.github.wnameless.json,json-base
org.apache.logging.log4j,log4j-1.2-api
io.kcache,kcache-mapdb
com.toedter,jcalendar
io.confluent,kafka-schema-registry-client
org.codehaus.groovy,groovy-macro
org.jetbrains.kotlin,kotlin-stdlib-jdk7
org.jetbrains.kotlin,kotlin-stdlib-jdk8
org.noear,nami
javax.validation,validation-api
com.kjetland,mbknor-jackson-jsonschema_2.12
org.jenkins-ci.main,remoting
org.noear,solon-cloud
io.objectbox,objectbox-macos
org.sweble.wikitext,swc-engine
com.nanohttpd,nanohttpd
jakarta.servlet.jsp,jakarta.servlet.jsp-api
org.glassfish,javax.el
org.elasticsearch.client,elasticsearch-rest-high-level-client
org.eclipse.paho,org.eclipse.paho.client.mqttv3
br.com.caelum.vraptor,vraptor-routes
io.jenkins.plugins,code-coverage-api
org.codehaus.jettison,jettison
com.github.FUDCo,Elko
com.formdev,flatlaf-jide-oss
com.miglayout,miglayout
org.apache.curator,curator-framework
org.tukaani,xz
com.bergerkiller.mountiplex,Mountiplex
org.clojure,clojure-contrib
com.sparsity,sparkseejava
net.sourceforge.htmlunit,htmlunit-core-js
org.mineacademy.plugin,PlaceholderAPI
com.squareup.okhttp3,logging-interceptor
org.orbisgis,poly2tri-core
io.undertow.jastow,jastow
com.tencentcloudapi,tencentcloud-sdk-java
org.lmdbjava,lmdbjava-native-osx-x86_64
io.confluent.ksql,ksqldb-api-client
com.google.http-client,google-http-client-apache-v2
net.sf.ezmorph,ezmorph
org.graylog2,graylog2-server
com.atlassian.jira,jira-core
javax,javaee-api
xerces,xercesImpl
com.moilioncircle,redis-rdb-cli-api
org.apache.myfaces.core,myfaces-impl
org.apache.commons,commons-io
org.jfxtras,jfxtras-test-support
com.google.apis,google-api-services-pubsub
org.clueminer,utils
org.ow2.asm,asm-debug-all
net.sourceforge.cpdetector,jargs
org.openpreservation.jhove,jhove-modules
com.baomidou,mybatis-plus-extension
com.sshtools,j2ssh-core
org.eclipse.jetty,jetty-client
