dependencies,count
"[co.aikar:fastutil-lite,com.github.dblock:oshi-core,com.google.code.gson:gson,com.google.guava:guava,com.nimbusds:nimbus-jose-jwt,com.tinfoiled.mcpe.leveldb:leveldb,io.netty:netty-handler,io.netty:netty-transport-native-epoll,jline:jline,org.fusesource.jansi:jansi,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,org.slf4j:slf4j-nop,org.yaml:snakeyaml]",1
"[com.amazonaws:aws-java-sdk-core,com.amazonaws:aws-java-sdk-dynamodb,com.carrotsearch:junit-benchmarks,com.codahale.metrics:metrics-core,com.codahale.metrics:metrics-ganglia,com.codahale.metrics:metrics-graphite,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,com.google.code.findbugs:findbugs,com.google.guava:guava,com.opencsv:opencsv,commons-codec:commons-codec,commons-collections:commons-collections,commons-configuration:commons-configuration,commons-io:commons-io,commons-lang:commons-lang,commons-logging:commons-logging,junit:junit,log4j:log4j,org.apache.commons:commons-lang3,org.apache.tinkerpop:gremlin-core,org.janusgraph:janusgraph-core,org.janusgraph:janusgraph-test,org.mockito:mockito-all,org.mockito:mockito-core,org.projectlombok:lombok,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12]",1
"[com.alibaba:fastjson,commons-codec:commons-codec,org.apache.commons:commons-lang3,org.apache.httpcomponents:httpclient,org.apache.logging.log4j:log4j-core]",1
"[com.miglayout:miglayout,org.junit.jupiter:junit-jupiter]",1
"[ch.qos.logback:logback-classic,ch.qos.logback:logback-core,com.rabbitmq:amqp-client,net.jodah:concurrentunit,org.mockito:mockito-all,org.slf4j:slf4j-api,org.testng:testng]",1
"[com.alibaba:fastjson,com.github.pagehelper:pagehelper-spring-boot-starter,com.qiniu:qiniu-java-sdk,org.mybatis.spring.boot:mybatis-spring-boot-starter]",1
"[ch.qos.logback:logback-classic,commons-io:commons-io,junit:junit,org.apache.commons:commons-lang3,org.slf4j:slf4j-api]",1
"[commons-logging:commons-logging,org.jxmapviewer:jxmapviewer2]",1
"[com.amazonaws:aws-java-sdk,com.google.guava:guava,commons-io:commons-io,commons-lang:commons-lang,junit:junit,org.apache.maven.wagon:wagon-provider-api,org.kuali.common:kuali-s3,org.kuali.common:kuali-threads,org.slf4j:jcl-over-slf4j,org.slf4j:slf4j-log4j12,org.springframework:spring-core]",1
"[au.com.mineauz:Minigames,br.net.fabiozumbi12.RedProtect:RedProtect,br.net.fabiozumbi12:PvPDiffTimer,com.SirBlobman.combatlogx:CombatLogX-Plugin,com.ancientshores:ancient,com.bekvon.bukkit:residence,com.comphenix.protocol:ProtocolLib,com.garbagemule:MobArena,com.github.Angeschossen:LandsAPI,com.github.intellectualsites:plotsquared,com.gmail.nossr50:mcMMO,com.google.code.gson:gson,com.herocraftonline.heroes:Heroes,com.kirelcodes.miniaturepets:miniaturepets-api,com.kiwifisher:mobstacker,com.massivecraft:Factions,com.massivecraft:MassiveCore,com.mewin:WGCustomFlags,com.mojang:authlib,com.mojang:brigadier,com.mojang:datafixerupper,com.mojang:javabridge,com.nisovin.magicspells:MagicSpells,com.palmergames.bukkit:Towny,com.plotsquared.bukkit:PlotSquared,com.sk89q.worldedit:worldedit-bukkit,com.sk89q.worldguard:worldguard-bukkit,com.sk89q.worldguard:worldguard-legacy,com.sucy.skill:SkillAPI,com.zaxxer:HikariCP,de.keyle:knbt,de.keyle:mypet-api,de.keyle:mypet-compat-v1_12_R1,de.keyle:mypet-compat-v1_16_R1,de.keyle:mypet-compat-v1_16_R3,de.keyle:mypet-compat-v1_17_R1,de.keyle:mypet-compat-v1_18_R1,de.keyle:mypet-compat-v1_8_R3,de.keyle:mypet-compat-v1_9_R2,de.keyle:mypet-gui,de.keyle:mypet-plugin,de.keyle:mypet-premium-apis,de.keyle:mypet-skills,de.keyle:mypet-skilltree-creator,de.myzelyam:supervanish,fr.neatmonster:nocheatplus,io.lumine.xikage:MythicMobs,io.sentry:sentry,mc.alk:BattleArena,me.NoChance.PvPManager:PvPManager,me.clip:placeholderapi,me.glaremasters:Guilds,me.jet315:MobStacker,me.maker56.survivalgames:SurvivalGames,me.ryanhamshire:GriefPrevention,mysql:mysql-connector-java,net.citizensnpcs:citizensapi,net.kaikk.mc:GriefPreventionPlus,net.sacredlabyrinth.Phaed:PreciousStones,net.sacredlabyrinth.phaed.simpleclans:SimpleClans,net.slipcor:pvparena,org.apache.logging.log4j:log4j-core,org.bstats:bstats-bukkit,org.bukkit:bukkit,org.fusesource.jansi:jansi,org.kingdoms:kingdoms,org.mcsg:survivalgames,org.mongodb:mongodb-driver,org.mozilla:rhino,org.nanohttpd:nanohttpd,org.nanohttpd:nanohttpd-websocket,org.natrolite:vault-api,org.projectlombok:lombok,org.slf4j:slf4j-api,org.slf4j:slf4j-nop,org.spigotmc:spigot,org.spigotmc:spigot-api,uk.antiperson:StackMob]",1
"[com.madgag.spongycastle:core,junit:junit,nl.jqno.equalsverifier:equalsverifier,org.simpleframework:simple-xml]",1
"[com.moilioncircle:redis-rdb-cli-api,com.moilioncircle:redis-replicator,info.picocli:picocli,junit:junit,org.apache.logging.log4j:log4j-slf4j-impl,org.influxdb:influxdb-java,org.jline:jline,org.slf4j:slf4j-api,redis.clients:jedis]",1
"[com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.google.guava:guava,com.lmax:disruptor,io.grpc:grpc-netty,io.netty:netty-all,io.netty:netty-tcnative-boringssl-static,org.apache.httpcomponents:httpclient,org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-slf4j-impl,org.bouncycastle:bcprov-jdk15on,org.slf4j:slf4j-api,org.thymeleaf:thymeleaf]",1
"[com.google.guava:guava,com.timgroup:java-statsd-client,io.vertx:vertx-core,junit:junit,org.apache.httpcomponents:httpclient,org.influxdb:influxdb-java,org.mockito:mockito-core]",1
"[com.google.android:android,junit:junit,org.mockito:mockito-core,org.robolectric:robolectric]",1
"[com.h2database:h2,commons-io:commons-io,org.apache.commons:commons-lang3,org.assertj:assertj-core,org.hamcrest:hamcrest-all,org.junit.jupiter:junit-jupiter,org.mockito:mockito-core,org.mockito:mockito-junit-jupiter]",1
"[commons-codec:commons-codec,junit:junit,org.bouncycastle:bcprov-jdk15on]",1
"[com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.jcraft:jsch,commons-logging:commons-logging,commons-net:commons-net,io.netty:netty-buffer,io.netty:netty-codec-http,io.netty:netty-common,io.netty:netty-handler,io.netty:netty-transport,io.undertow:undertow-core,io.undertow:undertow-websockets-jsr,junit:junit,org.apache.mina:mina-core,org.apache.sshd:sshd-core,org.bouncycastle:bcpkix-jdk15on,org.bouncycastle:bcprov-jdk15on,org.jboss.spec.javax.websocket:jboss-websocket-api_1.1_spec,org.mockito:mockito-all,org.slf4j:slf4j-api,org.slf4j:slf4j-simple]",1
"[ch.qos.logback:logback-classic,com.esotericsoftware.yamlbeans:yamlbeans,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,com.github.jcustenborder.kafka.connect:connect-utils,com.squareup.okhttp3:okhttp,io.confluent:kafka-avro-serializer,io.confluent:kafka-connect-maven-plugin,org.apache.avro:avro,org.apache.avro:avro-maven-plugin,org.apache.commons:commons-lang3,org.apache.kafka:connect-api,org.hamcrest:hamcrest-junit,org.junit.jupiter:junit-jupiter-engine,org.junit.jupiter:junit-jupiter-params,org.junit.platform:junit-platform-console,org.junit.platform:junit-platform-runner,org.junit.vintage:junit-vintage-engine,org.mockito:mockito-core,org.mongodb:mongodb-driver,org.testcontainers:testcontainers]",1
"[com.itextpdf:itextpdf,dom4j:dom4j,junit:junit,org.bouncycastle:bcpkix-jdk15on,org.bouncycastle:bcprov-jdk15on]",1
"[antlr:antlr,br.com.caelum.vraptor:vraptor-action-cache,br.com.caelum.vraptor:vraptor-brutauth,br.com.caelum.vraptor:vraptor-error-control,br.com.caelum.vraptor:vraptor-freemarker,br.com.caelum.vraptor:vraptor-hibernate,br.com.caelum.vraptor:vraptor-i18n,br.com.caelum.vraptor:vraptor-jodatime,br.com.caelum.vraptor:vraptor-quartzjob,br.com.caelum.vraptor:vraptor-routes,br.com.caelum.vraptor:vraptor-simplemail,br.com.caelum.vraptor:vraptor-streamable-pages,br.com.caelum.vraptor:vraptor-test,br.com.caelum:timemachine,br.com.caelum:vraptor,com.google.code.gson:gson,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,com.h2database:h2,com.thoughtworks.xstream:xstream,commons-codec:commons-codec,commons-collections:commons-collections,commons-fileupload:commons-fileupload,commons-httpclient:commons-httpclient,commons-io:commons-io,de.odysseus.juel:juel-api,de.odysseus.juel:juel-impl,javax.mail:mail,javax.servlet:jstl,javax.transaction:jta,joda-time:joda-time,joda-time:joda-time-hibernate,junit:junit,mysql:mysql-connector-java,org.apache.axis:axis,org.apache.commons:commons-email,org.apache.directory.api:api-all,org.apache.solr:solr-core,org.apache.solr:solr-dataimporthandler,org.apache.solr:solr-solrj,org.codehaus.jackson:jackson-core-asl,org.codehaus.jettison:jettison,org.eclipse.jetty:jetty-http,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,org.eclipse.jetty:jetty-servlets,org.eclipse.jetty:jetty-webapp,org.freemarker:freemarker,org.glassfish.web:javax.servlet.jsp,org.glassfish.web:jstl-impl,org.hamcrest:hamcrest-all,org.hibernate:hibernate-c3p0,org.hibernate:hibernate-core,org.hibernate:hibernate-ehcache,org.hibernate:hibernate-validator,org.hibernate:hibernate-validator-cdi,org.imgscalr:imgscalr-lib,org.jadira.usertype:usertype.jodatime,org.jboss.weld.se:weld-se-core,org.jboss.weld.servlet:weld-servlet-core,org.jboss.weld:weld-core-impl,org.joda:joda-convert,org.jsoup:jsoup,org.mockito:mockito-core,org.ocpsoft.prettytime:prettytime,org.scribe:scribe,org.seleniumhq.selenium:selenium-java,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12,qdox:qdox]",1
"[com.github.luben:zstd-jni,io.trino.hadoop:hadoop-apache,org.anarres.lzo:lzo-hadoop,org.iq80.snappy:snappy,org.lz4:lz4-java,org.xerial.snappy:snappy-java]",1
"[com.google.guava:guava,com.googlecode.json-simple:json-simple,junit:junit,org.apache.avro:avro-mapred,org.apache.commons:commons-io,org.apache.hadoop:hadoop-core]",1
"[com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,junit:junit,org.mockito:mockito-core]",1
"[org.jenkins-ci.plugins:authentication-tokens,org.jenkins-ci.plugins:handy-uri-templates-2-api]",1
"[cglib:cglib-nodep,com.fasterxml.jackson.core:jackson-databind,com.google.code.gson:gson,com.googlecode.json-simple:json-simple,com.owlike:genson,commons-io:commons-io,javax.ws.rs:jsr311-api,junit:junit,net.minidev:json-smart,net.sf.json-lib:json-lib,org.clojure:clojure,org.codehaus.groovy:groovy,org.codehaus.jackson:jackson-core-lgpl,org.codehaus.jackson:jackson-jaxrs,org.codehaus.jackson:jackson-mapper-lgpl,org.codehaus.jackson:jackson-smile,org.springframework:spring-web,xom:xom]",1
"[aopalliance:aopalliance,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.mchange:c3p0,commons-dbcp:commons-dbcp,commons-fileupload:commons-fileupload,commons-pool:commons-pool,javax.servlet.jsp:javax.servlet.jsp-api,javax.servlet:javax.servlet-api,javax.servlet:jstl,javax:javaee-api,junit:junit,log4j:log4j,mysql:mysql-connector-java,org.aspectj:aspectjrt,org.aspectj:aspectjweaver,org.hibernate:hibernate-validator,org.mybatis.generator:mybatis-generator-core,org.mybatis:mybatis,org.mybatis:mybatis-spring,org.springframework:spring-aop,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-context-support,org.springframework:spring-core,org.springframework:spring-expression,org.springframework:spring-jdbc,org.springframework:spring-test,org.springframework:spring-tx,org.springframework:spring-web,org.springframework:spring-webmvc]",1
"[ch.qos.logback:logback-classic,cn.dreampie:resty-common,com.alibaba:fastjson,com.cybermkd:ICEREST,com.jfinal:jfinal,javax.el:javax.el-api,joda-time:joda-time,junit:junit,org.glassfish.web:javax.el,org.hibernate:hibernate-validator,org.jsoup:jsoup,org.mongodb:mongo-java-driver]",1
"[args4j:args4j,com.carrotsearch.randomizedtesting:randomizedtesting-runner,com.clearspring.analytics:stream,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,com.google.guava:guava,com.tdunning:t-digest,me.lemire.integercompression:JavaFastPFOR,org.apache.mahout:mahout-math,org.freemarker:freemarker,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12]",1
"[com.google.code.findbugs:jsr305,com.googlecode.jmockit:jmockit,javax.activation:activation,javax.mail:mail,junit:junit,org.slf4j:slf4j-api,org.slf4j:slf4j-simple]",1
"[com.google.firebase:firebase-admin,org.apache.commons:commons-lang3,org.bgee.log4jdbc-log4j2:log4jdbc-log4j2-jdbc4.1,org.mybatis.spring.boot:mybatis-spring-boot-starter]",1
"[fr.zcraft:quartzlib,org.bstats:bstats-bukkit,org.bukkit:bukkit]",1
"[com.google.code.findbugs:jsr305,com.sun.xml.bind:jaxb-impl,de.schauderhaft.degraph:degraph-check,io.vavr:vavr,javax.ejb:ejb-api,javax.el:el-api,javax.interceptor:javax.interceptor-api,javax.servlet:javax.servlet-api,javax.transaction:javax.transaction-api,org.apache.geronimo.specs:geronimo-jcdi_2.0_spec,org.codehaus.groovy:groovy-all,org.scala-lang:scala-library,org.xmlbeam:xmlprojector,xmlunit:xmlunit]",1
"[cn.hutool:hutool-all,com.alibaba:fastjson,commons-lang:commons-lang,junit:junit,mysql:mysql-connector-java,org.apache.shiro:shiro-spring,org.apache.tomcat.embed:tomcat-embed-jasper,org.mockito:mockito-core]",1
"[com.google.code.gson:gson,dom4j:dom4j,junit:junit,org.eclipse:jface,org.slf4j:slf4j-log4j12,redis.clients:jedis]",1
"[ch.vorburger.mariaDB4j:mariaDB4j,com.microsoft.sqlserver:mssql-jdbc,commons-io:commons-io,io.zonky.test:embedded-postgres,net.sourceforge.jtds:jtds,org.apache.derby:derby,org.mariadb.jdbc:mariadb-java-client,org.postgresql:postgresql,org.testcontainers:oracle-xe,org.testcontainers:testcontainers,org.xerial:sqlite-jdbc]",1
"[at.favre.lib:bytes,com.android:apksigner,commons-cli:commons-cli,org.apache.ant:ant]",1
"[de.odysseus.juel:juel-impl,de.odysseus.juel:juel-spi,javax.el:el-api,junit:junit,org.mockito:mockito-core,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12]",1
